GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaccionesms,com.bank.transaccionesms.config,WebClientConfig,0,12,0,0,0,5,0,2,0,2
transaccionesms,com.bank.transaccionesms.exception,MontoInvalidoException,4,0,0,0,2,0,1,0,1,0
transaccionesms,com.bank.transaccionesms.exception,TransaccionException,0,4,0,0,0,2,0,1,0,1
transaccionesms,com.bank.transaccionesms.exception,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
transaccionesms,com.bank.transaccionesms.exception,GlobalExceptionHandler,20,32,0,0,6,9,2,4,2,4
transaccionesms,com.bank.transaccionesms.exception,CuentaNotFoundException,4,0,0,0,2,0,1,0,1,0
transaccionesms,com.bank.transaccionesms.client,CuentaClient,62,6,0,0,14,3,4,1,4,1
transaccionesms,com.bank.transaccionesms,TransaccionesmsApplication,5,3,0,0,2,1,1,1,1,1
transaccionesms,com.bank.transaccionesms.controller,TransaccionController,10,28,0,0,4,11,1,3,1,3
transaccionesms,com.bank.transaccionesms.model,ErrorResponse,0,15,0,0,0,6,0,1,0,1
transaccionesms,com.bank.transaccionesms.model,TipoTransaccion,0,21,0,0,0,4,0,1,0,1
transaccionesms,com.bank.transaccionesms.service.impl,TransaccionServiceImpl,6,117,1,7,1,35,1,7,0,4
